[2025-06-01 03:40:34.436] [info]  DiscordSplash.signalReady
[2025-06-01 03:40:34.480] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-06-01 03:40:34.481] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-06-01 03:40:34.484] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-06-01 03:40:34.484] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-06-01 03:40:34.485] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-06-01 03:40:34.485] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-06-01 03:40:34.486] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-06-01 03:40:34.486] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-06-01 03:40:34.487] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-06-01 03:40:34.487] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-06-01 03:40:34.488] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-06-01 03:40:34.488] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-06-01 03:40:34.489] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-06-01 03:40:34.489] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-06-01 03:40:34.887] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-06-01 03:40:34.888] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-06-01 03:40:35.436] [info]  Splash.updateCountdownSeconds: undefined
[2025-06-01 03:40:35.527] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
